"","Species","Trait","Parameter","Estimate","SE","t","p","R2"
"1","passer","bill_length_mm","(Intercept)",9.01955501640106,2.34969993135379,3.83859866361932,0.000187225853686449,0.996717238220767
"2","passer","bill_length_mm","dist_bird_m",-1.11412422627967,0.356340230886686,-3.12657435144885,0.00215416015576725,0.996717238220767
"3","passer","bill_length_mm","angle_degrees",0.581881915094034,0.0281910612737741,20.640653058186,3.63224931478476e-44,0.996717238220767
"4","passer","bill_length_mm","angle_height",0.241375266644305,0.0723285993908464,3.33720366047698,0.00108590939221254,0.996717238220767
"5","passer","wing_length_mm","(Intercept)",8.57355518959724,1.86461039616715,4.59804107454342,9.44400516743488e-06,0.998269162952827
"6","passer","wing_length_mm","dist_bird_m",-1.12788260956435,0.284668305107693,-3.96209409100764,0.000117885617871563,0.998269162952827
"7","passer","wing_length_mm","angle_degrees",0.566069621448286,0.0450640044181087,12.561458502361,1.04369338031832e-24,0.998269162952827
"8","passer","wing_length_mm","angle_height",0.138268697372732,0.0573773407749164,2.40981362163754,0.0172596750906108,0.998269162952827
"9","passer","tarsus_length_mm","(Intercept)",4.78946835386799,4.69720375728164,1.01964245141449,0.309656843744252,0.998490798830975
"10","passer","tarsus_length_mm","dist_bird_m",-0.67920580869058,0.712740595068266,-0.952949521032299,0.342258052979724,0.998490798830975
"11","passer","tarsus_length_mm","angle_degrees",0.546970289889349,0.0544631377429743,10.0429448716422,3.29849552423556e-18,0.998490798830975
"12","passer","tarsus_length_mm","angle_height",0.641244879147245,0.143658985821683,4.46366007305099,1.64429003288748e-05,0.998490798830975
"13","passer","body_length_mm","(Intercept)",11.1825015803782,2.37776769375612,4.70294117030138,6.07991373660856e-06,0.998055541333774
"14","passer","body_length_mm","dist_bird_m",-1.79427264062111,0.362556321455611,-4.94894871345054,2.11083390916347e-06,0.998055541333774
"15","passer","body_length_mm","angle_degrees",0.594526946694503,0.0413375502819612,14.3822491327925,2.27730418236612e-29,0.998055541333774
"16","passer","body_length_mm","angle_height",0.254970923552336,0.0730763391392972,3.48910367644873,0.00064825560479903,0.998055541333774
"17","milvago","bill_length_mm","(Intercept)",32.579831445888,4.00238937811519,8.14009542000897,2.23386886217596e-13,0.997412975237842
"18","milvago","bill_length_mm","dist_bird_m",-3.86826761570998,0.61571844050604,-6.28252681945139,4.19680756988575e-09,0.997412975237842
"19","milvago","bill_length_mm","angle_degrees",0.446774385383712,0.0445500075893207,10.0286040240947,4.64497088208871e-18,0.997412975237842
"20","milvago","bill_length_mm","angle_height",-0.245496504764565,0.122536773084521,-2.00345168707218,0.0471158350351171,0.997412975237842
"21","milvago","wing_length_mm","(Intercept)",12.322025509555,2.98267785082081,4.13119556514092,6.17846471326045e-05,0.999082804715409
"22","milvago","wing_length_mm","dist_bird_m",-1.14726593581213,0.465847408558009,-2.46275049455227,0.015001048291862,0.999082804715409
"23","milvago","wing_length_mm","angle_degrees",0.849103287282287,0.0599468515218399,14.1642682764238,8.13596761732555e-29,0.999082804715409
"24","milvago","wing_length_mm","angle_height",-0.1386584983202,0.0915082369685156,-1.51525701853383,0.131961876105921,0.999082804715409
"25","milvago","tarsus_length_mm","(Intercept)",30.794014802934,5.82691126012576,5.28479213569993,4.71639971172756e-07,0.999364086607579
"26","milvago","tarsus_length_mm","dist_bird_m",-2.89438969372692,0.902254782389107,-3.20795162322419,0.00165719128566922,0.999364086607579
"27","milvago","tarsus_length_mm","angle_degrees",1.18797258116017,0.0675657362821896,17.5824707392897,2.9502442173133e-37,0.999364086607579
"28","milvago","tarsus_length_mm","angle_height",-0.55747307277569,0.176334213237642,-3.16145722681959,0.00192475983078175,0.999364086607579
"29","milvago","body_length_mm","(Intercept)",17.5352635407882,2.56054252061565,6.84826102265703,2.16845257890516e-10,0.998816992257063
"30","milvago","body_length_mm","dist_bird_m",-2.10649941896132,0.399900718336916,-5.26755597669769,5.10096137426069e-07,0.998816992257063
"31","milvago","body_length_mm","angle_degrees",0.766306091597972,0.0511283794295179,14.9878814886818,6.76315864296259e-31,0.998816992257063
"32","milvago","body_length_mm","angle_height",-0.183643765042289,0.0785519196582997,-2.33786476309094,0.0208108017257407,0.998816992257063
"33","turdus","bill_length_mm","(Intercept)",20.4602162363097,5.42819492073158,3.76924862409918,0.000240626532253845,0.999300268981484
"34","turdus","bill_length_mm","dist_bird_m",-2.60849607777148,0.827532672073937,-3.15213666577556,0.00198300795890257,0.999300268981484
"35","turdus","bill_length_mm","angle_degrees",0.920679405237069,0.0715612879492882,12.8656069729979,1.71572541633153e-25,0.999300268981484
"36","turdus","bill_length_mm","angle_height",0.638804367806399,0.164966776899298,3.87232132319801,0.000164843472579709,0.999300268981484
"37","turdus","wing_length_mm","(Intercept)",23.2186525591734,2.96413049153864,7.83320863418564,1.07248277068719e-12,0.998843329336238
"38","turdus","wing_length_mm","dist_bird_m",-3.318194980929,0.452593428716505,-7.33151382762882,1.66251287501218e-11,0.998843329336238
"39","turdus","wing_length_mm","angle_degrees",0.82988568252039,0.0449684773742496,18.4548317171977,2.55233563572605e-39,0.998843329336238
"40","turdus","wing_length_mm","angle_height",0.159213334172912,0.0902234820457857,1.76465517139004,0.0798024227456763,0.998843329336238
"41","turdus","tarsus_length_mm","(Intercept)",2.67195992500906,5.16218355225747,0.517602657472454,0.605595373902373,0.99897469207168
